epoch_no,val_loss,val_amp_prediction_loss,val_mic_prediction_loss,val_vae_loss_1_loss,val_mic_mean_grad_loss,val_amp_mean_grad_loss,val_unconstrained_sleep_mic_output_grad_input_loss,val_unconstrained_sleep_amp_output_grad_input_loss,val_correction_sleep_mic_output_grad_loss,val_correction_sleep_amp_output_grad_loss,val_correction_sleep_amp_prediction_loss,val_correction_sleep_mic_prediction_loss,val_unconstrained_sleep_amp_prediction_loss,val_unconstrained_sleep_mic_prediction_loss,val_z_cond_reconstructed_error_loss,val_correction_sleep_cond_reconstructed_error_loss,val_unconstrained_sleep_cond_reconstructed_error_loss,val_amp_prediction_acc,val_amp_prediction_binary_crossentropy,val_mic_prediction_acc,val_mic_prediction_binary_crossentropy,val_vae_loss_1__kl_metric,val_vae_loss_1__rcl,val_vae_loss_1__reconstruction_acc,val_vae_loss_1__amino_acc,val_vae_loss_1__empty_acc,val_mic_mean_grad_mse,val_mic_mean_grad_huber_loss,val_amp_mean_grad_mse,val_amp_mean_grad_huber_loss,val_unconstrained_sleep_mic_output_grad_input_mse,val_unconstrained_sleep_mic_output_grad_input_huber_loss,val_unconstrained_sleep_amp_output_grad_input_mse,val_unconstrained_sleep_amp_output_grad_input_huber_loss,val_correction_sleep_mic_output_grad_mse,val_correction_sleep_mic_output_grad_huber_loss,val_correction_sleep_amp_output_grad_mse,val_correction_sleep_amp_output_grad_huber_loss,val_correction_sleep_amp_prediction_acc,val_correction_sleep_amp_prediction_binary_crossentropy,val_correction_sleep_mic_prediction_acc,val_correction_sleep_mic_prediction_binary_crossentropy,val_unconstrained_sleep_amp_prediction_acc,val_unconstrained_sleep_amp_prediction_binary_crossentropy,val_unconstrained_sleep_mic_prediction_acc,val_unconstrained_sleep_mic_prediction_binary_crossentropy,val_z_cond_reconstructed_error_mse,val_z_cond_reconstructed_error_mae,val_correction_sleep_cond_reconstructed_error_mse,val_correction_sleep_cond_reconstructed_error_mae,val_unconstrained_sleep_cond_reconstructed_error_mse,val_unconstrained_sleep_cond_reconstructed_error_mae,loss,amp_prediction_loss,mic_prediction_loss,vae_loss_1_loss,mic_mean_grad_loss,amp_mean_grad_loss,unconstrained_sleep_mic_output_grad_input_loss,unconstrained_sleep_amp_output_grad_input_loss,correction_sleep_mic_output_grad_loss,correction_sleep_amp_output_grad_loss,correction_sleep_amp_prediction_loss,correction_sleep_mic_prediction_loss,unconstrained_sleep_amp_prediction_loss,unconstrained_sleep_mic_prediction_loss,z_cond_reconstructed_error_loss,correction_sleep_cond_reconstructed_error_loss,unconstrained_sleep_cond_reconstructed_error_loss,amp_prediction_acc,amp_prediction_binary_crossentropy,mic_prediction_acc,mic_prediction_binary_crossentropy,vae_loss_1__kl_metric,vae_loss_1__rcl,vae_loss_1__reconstruction_acc,vae_loss_1__amino_acc,vae_loss_1__empty_acc,mic_mean_grad_mse,mic_mean_grad_huber_loss,amp_mean_grad_mse,amp_mean_grad_huber_loss,unconstrained_sleep_mic_output_grad_input_mse,unconstrained_sleep_mic_output_grad_input_huber_loss,unconstrained_sleep_amp_output_grad_input_mse,unconstrained_sleep_amp_output_grad_input_huber_loss,correction_sleep_mic_output_grad_mse,correction_sleep_mic_output_grad_huber_loss,correction_sleep_amp_output_grad_mse,correction_sleep_amp_output_grad_huber_loss,correction_sleep_amp_prediction_acc,correction_sleep_amp_prediction_binary_crossentropy,correction_sleep_mic_prediction_acc,correction_sleep_mic_prediction_binary_crossentropy,unconstrained_sleep_amp_prediction_acc,unconstrained_sleep_amp_prediction_binary_crossentropy,unconstrained_sleep_mic_prediction_acc,unconstrained_sleep_mic_prediction_binary_crossentropy,z_cond_reconstructed_error_mse,z_cond_reconstructed_error_mae,correction_sleep_cond_reconstructed_error_mse,correction_sleep_cond_reconstructed_error_mae,unconstrained_sleep_cond_reconstructed_error_mse,unconstrained_sleep_cond_reconstructed_error_mae
0,104.36577606201172,0.7656001448631287,1.918084740638733,107.16220092773438,0.0006765932776033878,0.016046764329075813,0.002565342001616955,0.039458271116018295,0.0007701441063545644,0.013836481608450413,0.8903667330741882,1.397499442100525,0.5349289774894714,1.4625320434570312,0.16095739603042603,0.17172090709209442,1.3087451457977295,8.877841173671186e-05,0.7819499373435974,0.0,1.939927577972412,413.1659851074219,1.672218918800354,0.4879452586174011,0.24417449533939362,0.9979217052459717,0.0013798861764371395,0.0006765932776033878,0.05369110405445099,0.016046764329075813,0.005539772566407919,0.002565342001616955,0.15083768963813782,0.039458271116018295,0.0015751924365758896,0.0007701441063545644,0.04591461643576622,0.013836481608450413,0.8225319385528564,0.904302179813385,0.5050307512283325,1.4197217226028442,0.7090139389038086,0.5770474076271057,0.49631568789482117,1.4848506450653076,0.16095739603042603,0.3023396134376526,0.17172089219093323,0.31070882081985474,1.308746099472046,0.9084303975105286,123.31651233543049,0.74971807,1.7546697,122.73178,7.418003e-05,0.0051166336,0.0009229634,0.041126397,8.922838e-05,0.005186479,0.90783066,1.5031166,0.63666826,1.485469,0.1635407,0.17208141,1.5946014,0.00013501717,0.7644465,0.0,1.7737604,317.6888,1.9160992,0.42465112,0.15522514,0.9873453,0.0001516822,7.418003e-05,0.014103572,0.0051166336,0.002225993,0.0009229634,0.20594263,0.041126397,0.00018457905,8.922838e-05,0.015240548,0.005186479,0.83042216,0.92146313,0.5001554,1.5225376,0.6399333,0.6801039,0.4988089,1.5063653,0.16354069,0.2999754,0.17208134,0.3081734,1.5946021,0.99604243
1,49.62712097167969,0.6270411610603333,0.33593881130218506,56.641658782958984,0.08141706883907318,0.10502812266349792,0.05365647375583649,0.036931704729795456,0.11316302418708801,0.14382368326187134,2.2506301403045654,2.1477243900299072,0.7102367281913757,1.2787092924118042,0.08020059019327164,0.08165553212165833,1.1844221353530884,0.0001035748136928305,0.6419653296470642,0.0,0.347561776638031,478.1910705566406,0.8808935284614563,0.7185534834861755,0.627094566822052,0.9874274730682373,0.2810802459716797,0.08141706883907318,0.6548417806625366,0.10502812266349792,0.13616739213466644,0.05365647375583649,0.10914384573698044,0.036931704729795456,0.4138033986091614,0.11316302418708801,1.0373058319091797,0.14382368326187134,0.6221442818641663,2.2661995887756348,0.5867809057235718,2.1623058319091797,0.6608960628509521,0.7553362250328064,0.4708510935306549,1.3146042823791504,0.08020062744617462,0.19148945808410645,0.08165554702281952,0.19523145258426666,1.1844213008880615,0.8618055582046509,81.36881905523214,0.67715275,0.9165966,80.84146,0.04140447,0.05076557,0.021485806,0.034351245,0.051061407,0.06452677,1.8118358,1.4652344,0.6618347,1.3858047,0.13224982,0.1366108,1.2791426,0.00014241536,0.69177216,0.0,0.9381699,481.90173,1.2597786,0.6024999,0.44131404,0.9942244,0.116682574,0.04140447,0.24038222,0.05076557,0.05213953,0.021485806,0.10803426,0.034351245,0.15073761,0.051061407,0.34751835,0.06452677,0.6941084,1.8264698,0.55232745,1.4889297,0.68174607,0.7052737,0.47303355,1.4149683,0.13224982,0.25955775,0.1366106,0.26524514,1.279143,0.89411324
2,29.350143432617188,0.45603787899017334,0.18342752754688263,33.600093841552734,0.07428707927465439,0.1703065037727356,0.0955694243311882,0.04531744122505188,0.11856734752655029,0.21089734137058258,2.6179776191711426,3.536269426345825,0.7605081796646118,1.127146601676941,0.04441796988248825,0.045298028737306595,1.1115939617156982,8.877841173671186e-05,0.47249019145965576,0.0,0.18837986886501312,468.0835266113281,0.5202431082725525,0.8347360491752625,0.7992500066757202,0.9931270480155945,0.46274322271347046,0.07428707927465439,1.2159260511398315,0.1703065037727356,0.28599199652671814,0.0955694243311882,0.1316983848810196,0.04531744122505188,0.8177981972694397,0.11856734752655029,1.7287182807922363,0.21089734137058258,0.5596590638160706,2.6346383094787598,0.5458688735961914,3.542740821838379,0.6281072497367859,0.8075393438339233,0.5718809366226196,1.1606823205947876,0.044417962431907654,0.14083918929100037,0.045298021286726,0.1430404633283615,1.11159348487854,0.8358117938041687,45.057557650587775,0.54640424,0.2110476,44.50559,0.080222875,0.13784474,0.08115881,0.03974765,0.13042296,0.1758844,2.4951403,2.8349397,0.7558979,1.2476486,0.05846406,0.06047311,1.1510794,0.00014611447,0.56182575,0.0,0.21796621,471.6677,0.6908911,0.7776016,0.7152206,0.9971326,0.39082757,0.080222875,0.9192185,0.13784474,0.23161557,0.08115881,0.1150338,0.03974765,0.70050246,0.13042296,1.3201424,0.1758844,0.59215015,2.511086,0.56682426,2.84454,0.6381799,0.8023287,0.5164277,1.2822047,0.058464047,0.16466732,0.06047312,0.16860577,1.1510812,0.849639
3,21.090131759643555,0.37197062373161316,0.13542991876602173,23.58433723449707,0.050796184688806534,0.14187107980251312,0.08651012927293777,0.04949386417865753,0.07869121432304382,0.17395244538784027,2.8162686824798584,4.11196756362915,0.6984455585479736,0.7861698269844055,0.03479679301381111,0.03535778075456619,1.0708180665969849,0.0001035748136928305,0.3886714279651642,0.0,0.13974247872829437,447.1827392578125,0.3637075126171112,0.8844833970069885,0.8651115894317627,0.9997529983520508,0.37071534991264343,0.050796184688806534,0.9943453669548035,0.14187107980251312,0.26681649684906006,0.08651012927293777,0.1561765968799591,0.04949386417865753,0.6866065859794617,0.07869121432304382,1.3562090396881104,0.17395244538784027,0.5336470007896423,2.8332602977752686,0.5220762491226196,4.117138385772705,0.6304894685745239,0.7466000914573669,0.6775420308113098,0.8182563185691833,0.03479680046439171,0.12449267506599426,0.03535778820514679,0.12592677772045135,1.070818305015564,0.8228037357330322,30.11442571336573,0.440577,0.13807338,29.54,0.066703774,0.17213617,0.09331283,0.045617655,0.117130496,0.22003792,2.7102072,3.7305138,0.7438435,0.9814913,0.038594097,0.039704967,1.0942304,0.00014241536,0.4566157,0.0,0.1418558,457.2684,0.4567106,0.85365796,0.8227605,0.9980493,0.5009153,0.066703774,1.2963349,0.17213617,0.28744844,0.09331283,0.13319232,0.045617655,0.9395247,0.117130496,1.9481869,0.22003792,0.5545007,2.726753,0.5383079,3.7358947,0.6227824,0.7915425,0.62212396,1.0140171,0.038594127,0.1331968,0.039704986,0.13577676,1.0942303,0.82990825
4,16.96526527404785,0.33499667048454285,0.10176873952150345,19.00157928466797,0.04130087047815323,0.14515239000320435,0.08579756319522858,0.05183146148920059,0.0630340427160263,0.16875974833965302,2.8570425510406494,4.277875900268555,0.5739225745201111,0.5323814153671265,0.02877482958137989,0.02910706214606762,1.043933391571045,0.0001035748136928305,0.352146714925766,0.0,0.10581910610198975,441.1396484375,0.2918795347213745,0.9081680774688721,0.8950567841529846,0.999854564666748,0.33210182189941406,0.04130087047815323,1.165391445159912,0.14515239000320435,0.2908424735069275,0.08579756319522858,0.16362214088439941,0.05183146148920059,0.5810877680778503,0.0630340427160263,1.4276949167251587,0.16875974833965302,0.5250207185745239,2.8741884231567383,0.517637312412262,4.282529354095459,0.6904740929603577,0.6194231510162354,0.7756421566009521,0.5607423186302185,0.02877482771873474,0.1162719875574112,0.029107071459293365,0.11729378253221512,1.0439331531524658,0.8134530186653137,23.466928098689426,0.38625672,0.10989451,22.902952,0.054838587,0.17106411,0.0894291,0.049414303,0.10185366,0.21522275,2.7912111,4.0853367,0.6526784,0.6982768,0.029279668,0.03002425,1.0637212,0.00014611447,0.4026972,0.0,0.11310983,442.15207,0.3529039,0.88742465,0.86731446,0.9987766,0.48398402,0.054838587,1.4022382,0.17106411,0.29506394,0.0894291,0.15014797,0.049414303,1.054144,0.10185366,1.995352,0.21522275,0.5384429,2.8080502,0.5260287,4.0897455,0.6515022,0.6998837,0.7152266,0.72860813,0.02927965,0.11797415,0.03002424,0.119944446,1.0637208,0.8199174
5,21.132980346679688,0.316925972700119,0.09889917075634003,22.35557746887207,0.051377616822719574,0.17968691885471344,0.06412683427333832,0.07088512927293777,0.08079463988542557,0.2172682136297226,2.768268346786499,4.34364128112793,0.3847132623195648,0.1414986252784729,0.026239711791276932,0.026451636105775833,1.050459384918213,8.877841173671186e-05,0.3343726098537445,0.0,0.10271821916103363,427.3547058105469,0.3441946506500244,0.9024069309234619,0.8898864984512329,0.9875859618186951,0.5108343362808228,0.051377616822719574,1.6135705709457397,0.17968691885471344,0.44276735186576843,0.06412683427333832,0.23681648075580597,0.07088512927293777,0.8690399527549744,0.08079463988542557,2.273715019226074,0.2172682136297226,0.5273881554603577,2.785916566848755,0.5159209370613098,4.348138809204102,0.7640269994735718,0.4177071452140808,0.9488488435745239,0.15590864419937134,0.026239706203341484,0.11886957287788391,0.02645164728164673,0.11945349723100662,1.050459384918213,0.8164170980453491,19.445257059552453,0.35376853,0.09676497,18.899109,0.05253881,0.17653784,0.09823113,0.0628655,0.09817793,0.22387637,2.795785,4.2158875,0.50125366,0.42978394,0.027024513,0.027479012,1.0567349,0.00014056581,0.37057006,0.0,0.09974963,433.76596,0.29014444,0.90746826,0.8921348,0.99862057,0.53932506,0.05253881,1.4996526,0.17653784,0.4502974,0.09823113,0.21426655,0.0628655,1.1209061,0.09817793,2.2580028,0.22387637,0.53355086,2.812915,0.5234893,4.2199492,0.731179,0.54157704,0.8299376,0.45341066,0.027024526,0.11691961,0.027479004,0.11829602,1.0567338,0.81784815
6,11.136029243469238,0.27325305342674255,0.06927739083766937,11.984176635742188,0.03197573125362396,0.12652307748794556,0.030219828709959984,0.0726483091711998,0.05096162483096123,0.15127062797546387,2.857818603515625,4.470283031463623,0.3163813054561615,0.07634882628917694,0.02305792085826397,0.023060990497469902,1.0323964357376099,0.0001035748136928305,0.29091501235961914,0.0,0.07296649366617203,418.9018859863281,0.1819632351398468,0.9425316452980042,0.9361969232559204,0.9999970197677612,0.2956140339374542,0.03197573125362396,0.9601150751113892,0.12652307748794556,0.18031111359596252,0.030219828709959984,0.2845867872238159,0.0726483091711998,0.49026089906692505,0.05096162483096123,1.2746946811676025,0.15127062797546387,0.5187766551971436,2.8756227493286133,0.5134795308113098,4.474452972412109,0.8009588122367859,0.3429664075374603,0.9746537804603577,0.0852857306599617,0.02305792272090912,0.11162599921226501,0.023060984909534454,0.11184606701135635,1.0323963165283203,0.8095357418060303,15.96054584634575,0.32431626,0.08580158,15.433957,0.0487731,0.17611752,0.056199886,0.076012425,0.08995557,0.2221759,2.8213918,4.339714,0.36776447,0.16192938,0.025631791,0.025859552,1.0492107,0.00014611447,0.34135613,0.0,0.088623166,423.38507,0.2358064,0.9247795,0.9131632,0.99894655,0.54609436,0.0487731,1.5614437,0.17611752,0.39618638,0.056199886,0.28999615,0.076012425,1.1284602,0.08995557,2.2844875,0.2221759,0.52708113,2.8387892,0.51939994,4.343442,0.7801791,0.39718804,0.94817746,0.17414217,0.025631752,0.11721406,0.025859538,0.11802648,1.0492119,0.8155434
7,11.639628410339355,0.27114155888557434,0.0674520879983902,12.7682523727417,0.041281137615442276,0.15744315087795258,0.015719851478934288,0.07791613787412643,0.06504221260547638,0.18756796419620514,2.8244097232818604,4.5184736251831055,0.274918794631958,0.02787996083498001,0.022318409755825996,0.022280119359493256,1.0232329368591309,0.0001035748136928305,0.2888313829898834,0.0,0.07112257182598114,407.9183044433594,0.19404374063014984,0.9402217268943787,0.9331003427505493,0.998975932598114,0.5400667190551758,0.041281137615442276,1.3922233581542969,0.15744315087795258,0.11387095600366592,0.015719851478934288,0.34012606739997864,0.07791613787412643,0.8961721062660217,0.06504221260547638,1.8867591619491577,0.18756796419620514,0.5176225304603577,2.8422510623931885,0.5098395943641663,4.5227131843566895,0.8288500308990479,0.2997093200683594,0.9912849068641663,0.03179166465997696,0.022318411618471146,0.10967724025249481,0.022280126810073853,0.1098623126745224,1.0232326984405518,0.8060246109962463,14.008590977300297,0.3049548,0.08063908,13.487521,0.046090722,0.17051505,0.033148166,0.07936413,0.082607485,0.21334156,2.8399801,4.4462643,0.31346563,0.10038347,0.023869509,0.024048002,1.0366123,0.00014241536,0.32217714,0.0,0.08343013,412.8876,0.20518127,0.9359696,0.9266337,0.9988802,0.55726475,0.046090722,1.5824323,0.17051505,0.21812412,0.033148166,0.33685234,0.07936413,1.1215112,0.082607485,2.2093282,0.21334156,0.5227624,2.8575647,0.5145541,4.4498153,0.812476,0.33927202,0.9714707,0.107126646,0.023869494,0.11330119,0.02404802,0.113961056,1.0366127,0.810994
8,12.640780448913574,0.28498396277427673,0.07712164521217346,13.334880828857422,0.0448824018239975,0.1753750890493393,0.015492632985115051,0.08881448954343796,0.06651898473501205,0.20825380086898804,2.8167593479156494,4.4308929443359375,0.250699520111084,0.02115931361913681,0.027265537530183792,0.027481673285365105,1.0270072221755981,8.877841173671186e-05,0.3029995560646057,0.0,0.08084888756275177,415.4139099121094,0.20195212960243225,0.9368454217910767,0.9275590777397156,0.9999587535858154,0.4583573341369629,0.0448824018239975,1.4658547639846802,0.1753750890493393,0.20558446645736694,0.015492632985115051,0.4496772885322571,0.08881448954343796,0.7553781867027283,0.06651898473501205,1.9567654132843018,0.20825380086898804,0.5165275931358337,2.834991693496704,0.514707624912262,4.435176372528076,0.8460286259651184,0.27551624178886414,0.9936227798461914,0.024882042780518532,0.027265535667538643,0.11893419176340103,0.027481675148010254,0.11945904791355133,1.0270074605941772,0.8074979782104492,12.21842046962543,0.29029205,0.0779818,11.699368,0.044413533,0.16492534,0.025166156,0.09146202,0.07726473,0.20609537,2.8643594,4.502688,0.28113055,0.08361721,0.022371337,0.02257591,1.0267664,0.00014611447,0.30760682,0.0,0.08072134,403.4724,0.1769712,0.9454434,0.9369714,0.9994593,0.565117,0.044413533,1.5140882,0.16492534,0.1958351,0.025166156,0.42725304,0.09146202,1.0610572,0.07726473,2.1716588,0.20609537,0.5196977,2.882017,0.5135332,4.5060925,0.83644426,0.30597746,0.98144346,0.08848582,0.022371361,0.10925825,0.022575922,0.1099233,1.0267671,0.8071318
9,7.3936052322387695,0.22618480026721954,0.05047645792365074,7.517813205718994,0.022310607135295868,0.09344005584716797,0.012677211314439774,0.09329638630151749,0.03503197804093361,0.11210166662931442,2.8994009494781494,4.657386779785156,0.23719629645347595,0.018969165161252022,0.01951957307755947,0.019544413313269615,1.0087409019470215,0.0001035748136928305,0.24398589134216309,0.0,0.05407307669520378,382.5164489746094,0.11167861521244049,0.9662067890167236,0.963531494140625,0.9999970197677612,0.2041621208190918,0.022310607135295868,0.804810106754303,0.09344005584716797,0.08469125628471375,0.012677211314439774,0.4060252904891968,0.09329638630151749,0.48601120710372925,0.03503197804093361,1.00348961353302,0.11210166662931442,0.5124585628509521,2.9173967838287354,0.5045276880264282,4.661282062530518,0.8571851253509521,0.26148533821105957,0.994569718837738,0.023017656058073044,0.01951957866549492,0.1014464795589447,0.01954442448914051,0.10154090076684952,1.008740782737732,0.8003376722335815,10.8654725253582,0.27501,0.07042443,10.34912,0.041294787,0.15878436,0.01976613,0.0958734,0.06829056,0.19542378,2.8748527,4.572803,0.25812677,0.07058155,0.020687405,0.02092311,1.0181271,0.00014241536,0.29243657,0.0,0.07310034,394.55618,0.15550764,0.9522229,0.94570494,0.9994555,0.55365336,0.041294787,1.5632848,0.15878436,0.14306758,0.01976613,0.450473,0.0958734,0.99436396,0.06829056,2.1637597,0.19542378,0.51655716,2.8925743,0.51086426,4.5760283,0.84734553,0.28245664,0.98630226,0.07529212,0.020687422,0.10476434,0.020923126,0.10554511,1.0181279,0.80385554
10,7.074743270874023,0.22811740636825562,0.05096280947327614,7.5865559577941895,0.02734118513762951,0.1055108830332756,0.010718448087573051,0.10698162764310837,0.03739968687295914,0.12384556978940964,2.901437997817993,4.669090747833252,0.2513386905193329,0.01784564182162285,0.017760224640369415,0.0178203247487545,1.0065796375274658,8.877841173671186e-05,0.2459026426076889,0.0,0.054539889097213745,379.49267578125,0.11221042275428772,0.9658434391021729,0.9626576900482178,1.0,0.38702574372291565,0.02734118513762951,0.8815696239471436,0.1055108830332756,0.07675450295209885,0.010718448087573051,0.5611777901649475,0.10698162764310837,0.48323625326156616,0.03739968687295914,1.1800333261489868,0.12384556978940964,0.5079308748245239,2.919437885284424,0.5055634379386902,4.672935485839844,0.8410866260528564,0.2754266560077667,0.9976473450660706,0.023299144580960274,0.01776023581624031,0.09713849425315857,0.017820317298173904,0.09732106328010559,1.006580114364624,0.7994747161865234,10.980206101455472,0.268523,0.07326129,10.46264,0.03985641,0.1433657,0.020766063,0.10628293,0.06276668,0.17379396,2.8910136,4.635091,0.25493845,0.078576185,0.020706914,0.02088142,1.0159525,0.00014796402,0.28602535,0.0,0.07594015,385.00015,0.1569753,0.95534784,0.94892466,0.9985828,0.552233,0.03985641,1.4202328,0.1433657,0.15537614,0.020766063,0.5439567,0.10628293,0.9427223,0.06276668,1.9470055,0.17379396,0.5136996,2.9087574,0.50791425,4.6382394,0.85385966,0.27897927,0.9861931,0.08433316,0.020706909,0.10369901,0.020881439,0.10436294,1.0159525,0.8029034
11,6.906296253204346,0.2125978320837021,0.047136589884757996,6.476693630218506,0.021044911816716194,0.0914469063282013,0.011564265936613083,0.11737539619207382,0.03426094353199005,0.10686123371124268,2.8578264713287354,4.692518711090088,0.25097545981407166,0.018551388755440712,0.01695580966770649,0.01708008535206318,1.0005943775177002,0.0001035748136928305,0.23054276406764984,0.0,0.05068975314497948,371.59869384765625,0.09443158656358719,0.9719173312187195,0.9697362780570984,0.9999974370002747,0.2317015826702118,0.021044911816716194,0.722981870174408,0.0914469063282013,0.06989718973636627,0.011564265936613083,0.6911133527755737,0.11737539619207382,0.4579249322414398,0.03426094353199005,0.9790545105934143,0.10686123371124268,0.514219343662262,2.875903606414795,0.5061109066009521,4.696330547332764,0.8415157198905945,0.27590876817703247,0.9965968132019043,0.02362503670156002,0.016955813392996788,0.0943523496389389,0.017080089077353477,0.09460079669952393,1.000594973564148,0.7972935438156128,10.676729616624387,0.2642937,0.071546435,10.158966,0.04061745,0.14388348,0.022397466,0.11999705,0.06277185,0.17351273,2.8719676,4.6419005,0.27015406,0.08128753,0.019570984,0.019890087,1.0115616,0.00014241536,0.2818408,0.0,0.074246496,378.7915,0.15168513,0.9578162,0.95164084,0.9989897,0.6079447,0.04061745,1.493302,0.14388348,0.21331656,0.022397466,0.6596233,0.11999705,1.0106248,0.06277185,1.9466314,0.17351273,0.51512563,2.8898044,0.50827676,4.6450233,0.84110516,0.29478294,0.9865371,0.08779347,0.019571021,0.10105288,0.019890076,0.101830326,1.0115622,0.80113596
